STATE,ENTRSIZE,FIRM,ESTB,EMPL,PAYR,RCPT,Year
0,25,2,2,0,0,0.0,2012
0,26,3,5,0,0,0.0,2012
0,1,165,182,1658,53847,225861.0,2012
0,2,103,103,132,4558,30058.0,2012
0,3,31,31,195,8544,35333.0,2012
0,4,9,9,100,2066,9316.0,2012
0,5,4,4,66,2318,8996.0,2012
0,6,147,147,493,17486,83703.0,2012
0,7,3,3,0,0,0.0,2012
0,9,1,1,0,0,0.0,2012
0,10,2,2,0,0,0.0,2012
0,11,2,2,0,0,0.0,2012
0,12,3,3,184,6350,17984.0,2012
0,14,3,3,0,0,0.0,2012
0,16,1,1,0,0,0.0,2012
0,19,162,162,1437,36786,153948.0,2012
0,23,1,1,0,0,0.0,2012
0,26,2,19,0,0,0.0,2012
0,1,165,182,1658,53847,225861.0,2012
0,2,103,103,132,4558,30058.0,2012
0,3,31,31,195,8544,35333.0,2012
0,4,9,9,100,2066,9316.0,2012
0,5,4,4,66,2318,8996.0,2012
0,6,147,147,493,17486,83703.0,2012
0,7,3,3,0,0,0.0,2012
0,9,1,1,0,0,0.0,2012
0,10,2,2,0,0,0.0,2012
0,11,2,2,0,0,0.0,2012
0,12,3,3,184,6350,17984.0,2012
0,14,3,3,0,0,0.0,2012
0,16,1,1,0,0,0.0,2012
0,19,162,162,1437,36786,153948.0,2012
0,23,1,1,0,0,0.0,2012
0,26,2,19,0,0,0.0,2012
0,1,165,182,1658,53847,225861.0,2012
0,2,103,103,132,4558,30058.0,2012
0,3,31,31,195,8544,35333.0,2012
0,4,9,9,100,2066,9316.0,2012
0,5,4,4,66,2318,8996.0,2012
0,6,147,147,493,17486,83703.0,2012
0,7,3,3,0,0,0.0,2012
0,9,1,1,0,0,0.0,2012
0,10,2,2,0,0,0.0,2012
0,11,2,2,0,0,0.0,2012
0,12,3,3,184,6350,17984.0,2012
0,14,3,3,0,0,0.0,2012
0,16,1,1,0,0,0.0,2012
0,19,162,162,1437,36786,153948.0,2012
0,23,1,1,0,0,0.0,2012
0,26,2,19,0,0,0.0,2012
0,1,8054,8151,49728,1955919,10670358.0,2012
0,2,4825,4826,8697,285427,2158963.0,2012
0,3,1860,1861,12206,419145,2302038.0,2012
0,4,638,638,7383,261176,1251125.0,2012
0,5,276,276,4559,183182,880717.0,2012
0,6,7599,7601,32845,1148930,6592843.0,2012
0,7,164,164,3525,146367,689045.0,2012
0,8,81,81,2154,88185,415920.0,2012
0,9,49,49,1495,52464,249294.0,2012
0,10,26,26,912,40477,197032.0,2012
0,11,46,46,1927,77635,382767.0,2012
0,12,42,43,2361,107175,576758.0,2012
0,13,13,14,879,43829,211468.0,2012
0,14,9,13,695,34804,189669.0,2012
0,15,1,3,0,0,0.0,2012
0,16,4,25,0,0,0.0,2012
0,17,1,1,0,0,0.0,2012
0,18,1,1,0,0,0.0,2012
0,19,8036,8067,47104,1757242,9599437.0,2012
0,20,3,4,0,0,0.0,2012
0,21,3,4,0,0,0.0,2012
0,22,3,50,0,0,0.0,2012
0,23,3,7,0,16750,91273.0,2012
0,24,1,1,0,0,0.0,2012
0,25,1,1,0,0,0.0,2012
0,26,4,17,0,0,0.0,2012
0,1,8054,8151,49728,1955919,10670358.0,2012
0,2,4825,4826,8697,285427,2158963.0,2012
0,3,1860,1861,12206,419145,2302038.0,2012
0,4,638,638,7383,261176,1251125.0,2012
0,5,276,276,4559,183182,880717.0,2012
0,6,7599,7601,32845,1148930,6592843.0,2012
0,7,164,164,3525,146367,689045.0,2012
0,8,81,81,2154,88185,415920.0,2012
0,9,49,49,1495,52464,249294.0,2012
0,10,26,26,912,40477,197032.0,2012
0,11,46,46,1927,77635,382767.0,2012
0,12,42,43,2361,107175,576758.0,2012
0,13,13,14,879,43829,211468.0,2012
0,14,9,13,695,34804,189669.0,2012
0,15,1,3,0,0,0.0,2012
0,16,4,25,0,0,0.0,2012
0,17,1,1,0,0,0.0,2012
0,18,1,1,0,0,0.0,2012
0,19,8036,8067,47104,1757242,9599437.0,2012
0,20,3,4,0,0,0.0,2012
0,21,3,4,0,0,0.0,2012
0,22,3,50,0,0,0.0,2012
0,23,3,7,0,16750,91273.0,2012
0,24,1,1,0,0,0.0,2012
0,25,1,1,0,0,0.0,2012
0,26,4,17,0,0,0.0,2012
0,1,8054,8151,49728,1955919,10670358.0,2012
0,2,4825,4826,8697,285427,2158963.0,2012
0,3,1860,1861,12206,419145,2302038.0,2012
0,4,638,638,7383,261176,1251125.0,2012
0,5,276,276,4559,183182,880717.0,2012
0,6,7599,7601,32845,1148930,6592843.0,2012
0,7,164,164,3525,146367,689045.0,2012
0,8,81,81,2154,88185,415920.0,2012
0,9,49,49,1495,52464,249294.0,2012
0,10,26,26,912,40477,197032.0,2012
0,11,46,46,1927,77635,382767.0,2012
0,12,42,43,2361,107175,576758.0,2012
0,13,13,14,879,43829,211468.0,2012
0,14,9,13,695,34804,189669.0,2012
0,15,1,3,0,0,0.0,2012
0,16,4,25,0,0,0.0,2012
0,17,1,1,0,0,0.0,2012
0,18,1,1,0,0,0.0,2012
0,19,8036,8067,47104,1757242,9599437.0,2012
0,20,3,4,0,0,0.0,2012
0,21,3,4,0,0,0.0,2012
0,22,3,50,0,0,0.0,2012
0,23,3,7,0,16750,91273.0,2012
0,24,1,1,0,0,0.0,2012
0,25,1,1,0,0,0.0,2012
0,26,4,17,0,0,0.0,2012
0,1,2479,2490,7767,390509,3123899.0,2012
0,2,2225,2225,1927,118278,1079444.0,2012
0,3,152,152,1004,35490,220873.0,2012
0,4,26,26,301,12396,75004.0,2012
0,5,19,19,327,12415,85653.0,2012
0,6,2422,2422,3559,178579,1460974.0,2012
0,7,7,7,151,5856,39067.0,2012
0,8,10,11,261,10092,68862.0,2012
0,9,9,10,300,11279,69350.0,2012
0,10,4,4,144,5655,40881.0,2012
0,11,3,3,0,0,0.0,2012
0,12,5,5,269,16406,127267.0,2012
0,13,2,2,0,0,0.0,2012
0,14,4,5,0,0,0.0,2012
0,15,5,10,528,39443,307008.0,2012
0,16,5,5,1286,51669,0.0,2012
0,17,1,1,0,0,0.0,2012
0,19,2477,2485,7124,357597,2838893.0,2012
0,20,1,1,0,0,0.0,2012
0,26,1,4,0,0,0.0,2012
0,1,2177,2188,6115,341208,2953873.0,2012
0,2,2009,2009,1656,110172,1034425.0,2012
0,3,101,101,672,25768,186254.0,2012
0,4,16,16,193,9697,65643.0,2012
0,5,9,9,153,8061,0.0,2012
0,6,2135,2135,2674,153698,1356588.0,2012
0,7,5,5,106,5121,37601.0,2012
0,8,7,8,185,8490,64775.0,2012
0,9,6,7,0,0,0.0,2012
0,10,2,2,0,0,0.0,2012
0,11,2,2,0,0,0.0,2012
0,12,5,5,269,16406,127267.0,2012
0,13,2,2,0,0,0.0,2012
0,14,4,5,0,0,0.0,2012
0,15,3,8,337,34254,304776.0,2012
0,16,4,4,0,0,0.0,2012
0,19,2175,2183,5472,308296,2668867.0,2012
